,tl,tm,tr,ml,mm,mr,bl,bm,br,result
0,x,x,x,x,o,o,-,o,o,xwin
1,x,x,x,x,o,o,o,-,o,xwin
2,x,x,x,x,o,o,o,o,-,xwin
3,x,x,x,-,-,o,-,o,o,xwin
4,x,x,x,-,-,o,o,-,o,xwin
5,x,x,x,-,-,o,o,o,-,xwin
6,x,x,x,-,o,-,-,o,o,xwin
7,x,x,x,-,o,-,o,-,o,xwin
8,x,x,x,-,o,-,o,o,-,xwin
9,x,x,x,-,o,o,x,o,o,xwin
10,x,x,x,-,o,o,-,-,o,xwin
11,x,x,x,-,o,o,-,o,-,xwin
12,x,x,x,-,o,o,-,o,o,xwin
13,x,x,x,-,o,o,o,x,o,xwin
14,x,x,x,-,o,o,o,-,-,xwin
15,x,x,x,-,o,o,o,-,o,xwin
16,x,x,x,-,o,o,o,o,x,xwin
17,x,x,x,-,o,o,o,o,-,xwin
18,x,x,x,o,x,o,-,o,o,xwin
19,x,x,x,o,x,o,o,-,o,xwin
20,x,x,x,o,x,o,o,o,-,xwin
21,x,x,x,o,-,-,-,o,o,xwin
22,x,x,x,o,-,-,o,-,o,xwin
23,x,x,x,o,-,-,o,o,-,xwin
24,x,x,x,o,-,o,x,o,o,xwin
25,x,x,x,o,-,o,-,-,o,xwin
26,x,x,x,o,-,o,-,o,-,xwin
27,x,x,x,o,-,o,-,o,o,xwin
28,x,x,x,o,-,o,o,x,o,xwin
29,x,x,x,o,-,o,o,-,-,xwin
30,x,x,x,o,-,o,o,-,o,xwin
31,x,x,x,o,-,o,o,o,x,xwin
32,x,x,x,o,-,o,o,o,-,xwin
33,x,x,x,o,o,x,-,o,o,xwin
34,x,x,x,o,o,x,o,-,o,xwin
35,x,x,x,o,o,x,o,o,-,xwin
36,x,x,x,o,o,-,x,o,o,xwin
37,x,x,x,o,o,-,-,-,o,xwin
38,x,x,x,o,o,-,-,o,-,xwin
39,x,x,x,o,o,-,-,o,o,xwin
40,x,x,x,o,o,-,o,x,o,xwin
41,x,x,x,o,o,-,o,-,-,xwin
42,x,x,x,o,o,-,o,-,o,xwin
43,x,x,x,o,o,-,o,o,x,xwin
44,x,x,x,o,o,-,o,o,-,xwin
45,x,x,-,x,x,o,o,o,o,owin
46,x,x,-,x,-,-,o,o,o,owin
47,x,x,-,x,-,o,-,o,o,owin
48,x,x,-,x,-,o,o,-,o,owin
